customer_id,segment,acquisition_date,channel,country,status,company_name,account_tier
C000060,D2C,2024-10-29,SEO,US,Active,,
C000061,D2C,2024-02-15,Email,UK,Active,,
C000062,D2C,2022-09-29,Paid Ads,AU,Churned,,
C000063,D2C,2024-02-29,Organic Social,US,Churned,,
C000064,D2C,2022-12-01,Referral,US,Churned,,
C000065,D2C,2023-03-05,Paid Ads,US,Active,,
C000066,D2C,,Organic Social,UK,Churned,,
C000067,D2C,2023-04-03,Email,US,Churned,,
C000068,D2C,2023-05-19,Referral,US,At Risk,,
C000069,D2C,2023-11-05,Referral,CA,Active,,
C000070,D2C,2022-07-31,Paid Ads,US,Active,,
C000071,D2C,2023-03-17,Paid Ads,UK,Churned,,
C000072,D2C,2023-11-30,Referral,CA,Active,,
C000073,D2C,2022-07-07,Organic Social,US,At Risk,,
C000074,D2C,2023-05-01,Email,DE,Churned,,
C000075,D2C,2024-08-06,Referral,UK,Churned,,
C000076,D2C,2024-08-12,Organic Social,US,Churned,,
C000077,D2C,2024-03-25,Email,US,Active,,
C000078,D2C,2022-10-17,Organic Social,US,Active,,
C000079,D2C,2024-01-22,Organic Social,UK,Active,,
C000080,D2C,2023-03-24,Email,UK,At Risk,,
C000081,D2C,2023-02-09,Organic Social,CA,Active,,
C000082,D2C,2023-03-22,Organic Social,UK,Churned,,
C000083,D2C,2023-04-09,Organic Social,UK,Active,,
C000084,D2C,2023-05-13,Email,US,Active,,
C000085,D2C,2022-01-29,Paid Ads,US,Churned,,
C000086,D2C,2022-08-14,Referral,US,Active,,
C000087,D2C,2022-09-26,Paid Ads,UK,Active,,
C000088,D2C,2023-11-23,Email,CA,Churned,,
C000089,D2C,2022-01-22,Paid Ads,UK,Active,,
C000090,D2C,2024-01-15,Paid Ads,UK,Churned,,
C000091,D2C,2024-05-21,Paid Ads,US,At Risk,,
C000092,D2C,2024-10-16,Referral,US,Active,,
C000093,D2C,2022-04-19,SEO,UK,Churned,,
C000094,D2C,2024-04-12,Organic Social,US,Active,,
C000095,D2C,2024-06-22,Paid Ads,DE,Churned,,
C000096,D2C,2024-01-23,Referral,DE,Active,,
C000097,D2C,2023-07-27,Organic Social,CA,Churned,,
C000098,D2C,2024-06-02,SEO,US,Active,,
C000099,D2C,2023-02-08,SEO,US,Active,,
C000100,D2C,,Referral,US,Churned,,
C000101,D2C,2022-04-02,Organic Social,CA,Churned,,
C000102,D2C,2023-06-07,Paid Ads,US,Churned,,
C000103,D2C,2023-09-11,Organic Social,US,Churned,,
C000104,D2C,2024-01-18,Paid Ads,US,Active,,
C000105,D2C,2023-07-25,Paid Ads,US,Churned,,
C000106,D2C,2024-11-05,Paid Ads,US,Active,,
C000107,D2C,2022-07-10,Organic Social,US,Active,,
C000108,D2C,2024-01-13,SEO,US,Active,,
C000109,D2C,2023-05-15,Paid Ads,US,Churned,,
C000110,D2C,2024-05-24,Paid Ads,UK,Active,,
C000111,D2C,2023-08-22,Sales,US,Active,,
C000112,D2C,2024-04-21,Organic Social,US,Active,,
C000113,D2C,2024-11-19,Email,UK,Active,,
C000114,D2C,2022-08-10,Email,US,Active,,
C000115,D2C,2022-01-03,Email,US,Churned,,
C000116,D2C,2024-01-18,Email,AU,Active,,
C000117,D2C,2023-12-05,Organic Social,UK,At Risk,,
C000118,D2C,2024-05-29,Paid Ads,US,Active,,
C000119,D2C,2022-11-04,Email,UK,Active,,
C000120,D2C,2023-06-10,Paid Ads,US,Active,,
C000121,D2C,2022-04-08,SEO,UK,At Risk,,
C000122,D2C,2023-12-17,Paid Ads,CA,Active,,
C000123,D2C,2024-09-01,Email,UK,Active,,
C000124,D2C,2023-01-06,Email,AU,Active,,
C000125,D2C,2022-11-03,Referral,UK,At Risk,,
C000126,D2C,2022-12-10,Organic Social,UK,At Risk,,
C000127,D2C,2023-08-01,Paid Ads,US,Churned,,
C000128,D2C,2024-03-19,Organic Social,AU,Active,,
C000129,D2C,2022-05-10,Email,US,At Risk,,
C000130,D2C,2023-08-11,Sales,AU,Active,,
C000131,D2C,2024-06-04,Referral,UK,Active,,
C000132,D2C,2024-11-08,Email,US,Active,,
C000133,D2C,2024-07-24,Paid Ads,CA,Churned,,
C000134,D2C,2023-06-25,Paid Ads,US,Churned,,
C000135,D2C,2023-06-05,Organic Social,US,Active,,
C000136,D2C,2023-04-30,Paid Ads,UK,Active,,
C000137,D2C,2024-04-05,Referral,CA,Active,,
C000138,D2C,2023-12-08,Sales,US,Churned,,
C000139,D2C,2023-09-20,SEO,US,Churned,,
C000140,D2C,2024-02-08,Email,US,Active,,
C000141,D2C,2022-12-27,Email,AU,Churned,,
C000142,D2C,2023-02-09,Referral,CA,Active,,
C000143,D2C,2022-03-14,SEO,DE,Churned,,
C000144,D2C,2022-04-15,SEO,US,Churned,,
C000145,D2C,2022-02-18,Paid Ads,US,Churned,,
C000146,D2C,2023-08-26,Paid Ads,US,Churned,,
C000147,D2C,2022-09-14,Paid Ads,US,At Risk,,
C000148,D2C,2022-01-10,SEO,UK,Churned,,
C000149,D2C,2023-01-03,Email,US,Churned,,
C000150,D2C,2022-07-31,Organic Social,US,Active,,
C000151,D2C,2024-11-22,Sales,UK,Active,,
C000152,D2C,2023-12-31,Paid Ads,UK,Churned,,
C000153,D2C,2022-11-01,Email,US,Churned,,
C000154,D2C,2023-12-23,Email,CA,Churned,,
C000155,D2C,2023-11-19,Organic Social,UK,Active,,
C000156,D2C,2022-11-10,Paid Ads,US,Churned,,
C000157,D2C,2023-07-19,SEO,US,At Risk,,
C000158,D2C,2024-05-08,Organic Social,US,Churned,,
C000159,D2C,2024-10-25,Referral,DE,Churned,,
C000160,D2C,2023-01-25,Paid Ads,UK,Churned,,
C000161,D2C,2023-12-17,SEO,AU,Active,,
C000162,D2C,2022-01-27,Email,AU,Churned,,
C000163,D2C,2024-05-26,Organic Social,US,At Risk,,
C000164,D2C,2022-11-20,Paid Ads,AU,Churned,,
C000165,D2C,2023-12-15,SEO,US,Churned,,
C000166,D2C,2023-03-18,Organic Social,US,Active,,
C000167,D2C,2023-01-30,SEO,AU,Churned,,
C000168,D2C,2023-08-03,Organic Social,US,At Risk,,
C000169,D2C,2024-06-21,Email,UK,Active,,
C000170,D2C,2024-04-17,Paid Ads,UK,Active,,
C000171,D2C,2022-08-09,SEO,US,Active,,
C000172,D2C,2022-01-04,Paid Ads,US,Churned,,
C000173,D2C,2023-12-05,Paid Ads,CA,Active,,
C000174,D2C,2022-07-05,Referral,UK,Active,,
C000175,D2C,2024-04-07,Paid Ads,UK,Active,,
C000176,D2C,2024-04-13,Organic Social,US,Churned,,
C000177,D2C,2023-05-25,Email,US,Churned,,
C000178,D2C,2022-03-27,Paid Ads,US,Churned,,
C000179,D2C,2022-12-12,Organic Social,US,At Risk,,
C000180,D2C,2024-01-17,Email,CA,Churned,,
C000181,D2C,2023-04-26,Organic Social,US,Active,,
C000182,D2C,2023-03-31,Organic Social,US,Churned,,
C000183,D2C,2024-06-04,Paid Ads,CA,Active,,
C000184,D2C,2023-09-16,Organic Social,US,Churned,,
C000185,D2C,2024-03-09,Referral,DE,Churned,,
C000186,D2C,2023-09-07,Email,US,Active,,
C000187,D2C,2023-01-27,Email,CA,Churned,,
C000188,D2C,2024-05-20,Email,US,Churned,,
C000189,D2C,2022-10-12,,US,Active,,
C000190,D2C,2024-07-14,Organic Social,US,Active,,
C000191,D2C,2024-03-04,Organic Social,US,Active,,
C000192,D2C,2024-04-06,Paid Ads,US,Active,,
C000193,D2C,2023-12-19,Email,US,Active,,
C000194,D2C,2024-03-14,Organic Social,US,Active,,
C000195,D2C,,Organic Social,UK,Active,,
C000196,D2C,,Paid Ads,US,Active,,
C000197,D2C,2022-07-06,Referral,UK,Active,,
C000198,D2C,2022-03-18,Paid Ads,US,Churned,,
C000199,D2C,2023-09-05,Referral,US,Churned,,
C000200,D2C,2022-12-12,Email,CA,Churned,,
C000201,D2C,2024-06-17,Email,UK,Active,,
C000202,D2C,2022-12-28,Paid Ads,UK,Active,,
C000203,D2C,2024-08-21,Referral,CA,Active,,
C000204,D2C,2022-06-05,Email,CA,Active,,
C000205,D2C,2024-04-02,Referral,CA,Active,,
C000206,D2C,2023-08-24,Email,AU,Churned,,
C000207,D2C,2022-03-14,Organic Social,US,Churned,,
C000208,D2C,2022-11-27,Paid Ads,CA,Churned,,
C000209,D2C,2024-06-29,Organic Social,US,Churned,,
C000210,D2C,2024-08-11,Referral,UK,Active,,
C000211,D2C,2022-06-10,Paid Ads,AU,Active,,
C000212,D2C,2023-06-21,Paid Ads,US,Active,,
C000213,D2C,2022-06-18,Paid Ads,US,Active,,
C000214,D2C,2024-04-19,Paid Ads,US,Churned,,
C000215,D2C,2024-02-10,SEO,AU,Churned,,
C000216,D2C,2022-05-31,SEO,UK,Active,,
C000217,D2C,2024-09-25,Organic Social,CA,Active,,
C000218,D2C,2024-06-01,Email,UK,Churned,,
C000219,D2C,2023-01-20,Paid Ads,US,Active,,
C000220,D2C,2022-08-30,Paid Ads,CA,Active,,
C000221,D2C,2024-06-07,Paid Ads,US,Churned,,
C000222,D2C,2023-02-05,SEO,CA,Active,,
C000223,D2C,2023-04-11,Email,US,Churned,,
C000224,D2C,2024-03-07,Organic Social,US,Active,,
C000225,D2C,2024-06-07,SEO,DE,Active,,
C000226,D2C,2023-02-11,SEO,CA,Churned,,
C000227,D2C,2022-09-24,SEO,UK,Churned,,
C000228,D2C,2024-06-24,Referral,US,Active,,
C000229,D2C,2023-04-11,Paid Ads,US,At Risk,,
C000230,D2C,2022-02-26,Paid Ads,DE,Churned,,
C000231,D2C,2024-09-17,Email,CA,Churned,,
C000232,D2C,2024-06-01,,CA,Churned,,
C000233,D2C,2022-03-26,SEO,UK,Active,,
C000234,D2C,2022-04-29,Organic Social,US,Active,,
C000235,D2C,,SEO,UK,Active,,
C000236,D2C,2022-09-15,Organic Social,UK,Active,,
C000237,D2C,2023-12-08,Sales,US,Active,,
C000238,D2C,2024-11-17,Organic Social,US,Active,,
C000239,D2C,2022-09-27,Referral,US,Active,,
C000240,D2C,2024-03-31,Organic Social,US,Churned,,
C000241,D2C,2022-07-06,Organic Social,UK,Churned,,
C000242,D2C,2022-03-09,Organic Social,US,Churned,,
C000243,D2C,2022-02-14,Organic Social,DE,At Risk,,
C000244,D2C,2024-03-12,Organic Social,CA,Active,,
C000245,D2C,2022-05-13,SEO,CA,Active,,
C000246,D2C,2024-11-02,Organic Social,AU,Active,,
C000247,D2C,2024-02-13,Email,CA,Active,,
C000248,D2C,2022-03-27,Organic Social,UK,Churned,,
C000249,D2C,2023-01-10,SEO,US,Active,,
C000250,D2C,2024-11-08,Paid Ads,UK,Churned,,
C000251,D2C,2023-12-24,Paid Ads,UK,At Risk,,
C000252,D2C,2022-03-13,Organic Social,US,Churned,,
C000253,D2C,2023-12-24,Organic Social,CA,At Risk,,
C000254,D2C,2023-02-28,Paid Ads,US,Churned,,
C000255,D2C,2023-02-16,Paid Ads,US,Churned,,
C000256,D2C,2022-10-31,Organic Social,US,At Risk,,
C000257,D2C,2024-08-14,Paid Ads,UK,Active,,
C000258,D2C,2023-01-05,Organic Social,AU,Active,,
C000259,D2C,2024-09-13,Referral,UK,Active,,
C000260,D2C,2022-05-28,Paid Ads,UK,Churned,,
C000261,D2C,2023-08-10,Paid Ads,US,Churned,,
C000262,D2C,2023-07-14,SEO,US,Churned,,
C000263,D2C,2023-04-24,Organic Social,AU,Churned,,
C000264,D2C,2022-07-13,Organic Social,AU,At Risk,,
C000265,D2C,2022-06-12,Organic Social,CA,Active,,
C000266,D2C,2024-08-10,Paid Ads,UK,Churned,,
C000267,D2C,2022-11-19,Organic Social,US,Churned,,
C000268,D2C,2023-12-02,Email,CA,Churned,,
C000269,D2C,2022-01-31,Email,UK,Active,,
C000270,D2C,2023-03-20,Organic Social,UK,Churned,,
C000271,D2C,2023-05-29,Email,US,Churned,,
C000272,D2C,2023-04-13,Paid Ads,UK,Churned,,
C000273,D2C,2024-02-21,Sales,US,Churned,,
C000274,D2C,2022-12-06,Paid Ads,US,Churned,,
C000275,D2C,2023-02-13,Paid Ads,AU,Churned,,
C000276,D2C,2023-09-07,Referral,US,Active,,
C000277,D2C,2022-11-25,SEO,UK,Active,,
C000278,D2C,2023-01-11,Organic Social,AU,Active,,
C000279,D2C,2023-07-26,Organic Social,AU,Churned,,
C000280,D2C,2023-01-25,Email,US,Churned,,
C000281,D2C,2023-06-21,Paid Ads,DE,Churned,,
C000282,D2C,2024-11-03,Referral,US,Active,,
C000283,D2C,2022-07-31,Organic Social,US,Churned,,
C000284,D2C,2023-05-20,Email,UK,Churned,,
C000285,D2C,2022-06-22,Referral,US,At Risk,,
C000286,D2C,2023-07-21,Paid Ads,CA,Churned,,
C000287,D2C,2024-11-08,Referral,CA,Active,,
C000288,D2C,2023-05-20,Referral,CA,At Risk,,
C000289,D2C,2023-09-13,Email,UK,Active,,
C000290,D2C,,SEO,US,Active,,
C000291,D2C,2022-06-11,Organic Social,CA,Churned,,
C000292,D2C,2024-02-22,Paid Ads,US,Active,,
C000293,D2C,2023-07-14,Paid Ads,AU,Active,,
C000294,D2C,2024-04-01,Email,UK,Churned,,
C000295,D2C,2022-09-20,Paid Ads,DE,Churned,,
C000296,D2C,2022-08-09,Organic Social,US,Churned,,
C000297,D2C,2022-10-18,Email,US,Active,,
C000298,D2C,2024-10-12,Paid Ads,US,Churned,,
C000299,D2C,2023-04-16,Organic Social,US,Active,,
C000300,D2C,2024-01-11,Email,UK,Active,,
C000301,D2C,2023-07-20,Paid Ads,US,Churned,,
C000302,D2C,2024-03-31,Email,AU,Active,,
C000303,D2C,2024-07-23,Paid Ads,DE,Active,,
C000304,D2C,2024-08-24,Email,UK,Active,,
C000305,D2C,2024-08-29,SEO,US,Active,,
C000306,D2C,2023-02-27,SEO,DE,Churned,,
C000307,D2C,2022-01-10,Paid Ads,DE,Churned,,
C000308,D2C,2023-08-02,SEO,AU,Churned,,
C000309,D2C,2022-04-30,Organic Social,US,Active,,
C000310,D2C,2024-04-21,Referral,US,Active,,
C000311,D2C,2024-05-29,Paid Ads,UK,Active,,
C000312,D2C,2022-12-11,Paid Ads,US,Active,,
C000313,D2C,2022-11-18,Paid Ads,UK,Churned,,
C000314,D2C,2022-05-06,Organic Social,UK,Active,,
C000315,D2C,2022-11-27,SEO,US,Active,,
C000316,D2C,2022-05-23,Referral,UK,Active,,
C000317,D2C,2023-05-16,Email,US,Churned,,
C000318,D2C,2024-07-18,Organic Social,CA,Active,,
C000319,D2C,2022-03-07,Organic Social,UK,Churned,,
C000320,D2C,2023-07-08,Paid Ads,UK,Active,,
C000321,D2C,2024-05-10,Organic Social,US,Active,,
C000322,D2C,2024-05-08,Organic Social,CA,Churned,,
C000323,D2C,2022-02-18,Paid Ads,DE,Active,,
C000324,D2C,2024-09-20,Organic Social,CA,Active,,
C000325,D2C,2023-11-19,Sales,US,Churned,,
C000326,D2C,2023-02-04,Email,UK,Churned,,
C000327,D2C,2022-07-09,,CA,Churned,,
C000328,D2C,2022-01-25,Email,UK,Active,,
C000329,D2C,2022-09-21,Paid Ads,AU,Active,,
C000330,D2C,,Referral,AU,Active,,
C000331,D2C,2022-04-18,Email,CA,Active,,
C000332,D2C,2023-03-05,Paid Ads,AU,Active,,
C000333,D2C,2022-11-04,Referral,US,Churned,,
C000334,D2C,2022-12-08,Paid Ads,UK,Active,,
C000335,D2C,2022-03-06,SEO,AU,At Risk,,
C000336,D2C,2023-06-12,SEO,UK,At Risk,,
C000337,D2C,2023-03-19,Organic Social,CA,Active,,
C000338,D2C,2022-11-16,Referral,AU,Churned,,
C000339,D2C,2023-08-16,Paid Ads,US,Active,,
C000340,D2C,2024-06-20,Referral,US,Active,,
C000341,D2C,2023-10-04,Paid Ads,CA,Churned,,
C000342,D2C,,Organic Social,DE,Churned,,
C000343,D2C,2024-10-20,Sales,US,Active,,
C000344,D2C,2022-08-06,Email,CA,At Risk,,
C000345,D2C,2023-01-18,Organic Social,US,Active,,
C000346,D2C,2023-05-15,SEO,US,Churned,,
C000347,D2C,2022-08-24,Paid Ads,AU,Active,,
C000348,D2C,2022-06-12,Organic Social,CA,Active,,
C000349,D2C,2023-12-30,SEO,DE,Active,,
C000350,D2C,2022-06-29,Paid Ads,CA,Churned,,
C000351,D2C,2023-07-31,Paid Ads,US,Churned,,
C000352,D2C,2023-12-12,Organic Social,CA,Churned,,
C000353,D2C,2022-01-10,Organic Social,UK,Churned,,
C000354,D2C,,Paid Ads,UK,Churned,,
C000355,D2C,2022-10-20,Paid Ads,CA,At Risk,,
C000356,D2C,2024-08-25,Paid Ads,US,Active,,
C000357,D2C,2024-05-17,Organic Social,US,Active,,
C000358,D2C,2024-11-19,Email,CA,Active,,
C000359,D2C,2024-03-19,,UK,Active,,
C000360,D2C,2022-07-02,Organic Social,CA,Churned,,
C000361,D2C,2022-04-12,Paid Ads,US,Churned,,
C000362,D2C,2023-05-21,Paid Ads,AU,Active,,
C000363,D2C,2022-02-05,Organic Social,DE,At Risk,,
C000364,D2C,2024-01-29,Paid Ads,US,Active,,
C000365,D2C,2023-02-19,Organic Social,CA,Churned,,
C000366,D2C,2024-02-10,Sales,US,Active,,
C000367,D2C,2022-12-29,SEO,US,Churned,,
C000368,D2C,2022-10-18,Organic Social,US,At Risk,,
C000369,D2C,2023-12-25,Paid Ads,UK,Churned,,
C000370,D2C,2022-03-29,Referral,UK,Active,,
C000371,D2C,2022-04-24,Organic Social,US,Active,,
C000372,D2C,2022-07-19,Email,US,Churned,,
C000373,D2C,2022-04-10,Organic Social,US,Churned,,
C000374,D2C,2022-04-01,SEO,DE,At Risk,,
C000375,D2C,2023-02-10,Organic Social,US,Active,,
C000376,D2C,2023-03-25,Paid Ads,US,Churned,,
C000377,D2C,2023-09-24,Paid Ads,US,Active,,
C000378,D2C,2023-10-22,Organic Social,US,Churned,,
C000379,D2C,2024-11-02,Organic Social,AU,Active,,
C000380,D2C,2024-10-23,Paid Ads,UK,At Risk,,
C000381,D2C,2022-09-15,Referral,US,Active,,
C000382,D2C,2023-09-23,Email,UK,Churned,,
C000383,D2C,2024-01-24,Paid Ads,UK,Active,,
C000384,D2C,2023-03-12,Email,US,Churned,,
C000385,D2C,2024-04-19,Sales,US,Active,,
C000386,D2C,2024-09-06,Organic Social,CA,Active,,
C000387,D2C,2023-07-26,Paid Ads,CA,Churned,,
C000388,D2C,2023-11-20,Sales,UK,Active,,
C000389,D2C,2024-10-24,Paid Ads,US,Active,,
C000390,D2C,2023-09-10,Organic Social,US,Churned,,
C000391,D2C,2023-06-17,Paid Ads,US,Active,,
C000392,D2C,2022-05-04,Paid Ads,US,At Risk,,
C000393,D2C,2023-05-29,Organic Social,UK,Churned,,
C000394,D2C,2024-05-12,SEO,UK,Active,,
C000395,D2C,2024-11-12,Paid Ads,US,Active,,
C000396,D2C,2022-09-04,Paid Ads,UK,Churned,,
C000397,D2C,2023-10-16,Email,US,Active,,
C000398,D2C,2024-03-11,Paid Ads,US,Churned,,
C000399,D2C,2022-12-13,Paid Ads,AU,Churned,,
C000400,D2C,2023-09-28,Email,US,Churned,,
C000401,D2C,2024-05-15,Paid Ads,UK,Churned,,
C000402,D2C,2022-05-06,Paid Ads,UK,Active,,
C000403,D2C,2022-05-27,Paid Ads,UK,Active,,
C000404,D2C,2024-11-29,Organic Social,US,Active,,
C000405,D2C,2022-02-27,Paid Ads,US,Active,,
C000406,D2C,2023-06-22,Email,US,Churned,,
C000407,D2C,2022-03-29,Referral,US,Active,,
C000408,D2C,2022-06-28,Referral,CA,Churned,,
C000409,D2C,2022-05-02,SEO,US,Churned,,
C000410,D2C,2024-02-04,Sales,US,Active,,
C000411,D2C,2022-11-13,Organic Social,US,At Risk,,
C000412,D2C,2024-11-23,Paid Ads,CA,Active,,
C000413,D2C,2024-01-27,Paid Ads,US,Churned,,
C000414,D2C,2022-03-05,Paid Ads,UK,Active,,
C000415,D2C,2022-11-04,SEO,DE,Active,,
C000416,D2C,2024-10-21,SEO,DE,Active,,
C000417,D2C,2024-07-10,Referral,CA,Active,,
C000418,D2C,2023-06-05,Paid Ads,US,Churned,,
C000419,D2C,2024-07-25,Organic Social,US,Active,,
C000420,D2C,2024-10-08,Paid Ads,CA,Active,,
C000421,D2C,2023-05-03,Organic Social,US,Churned,,
C000422,D2C,2023-04-03,Paid Ads,CA,Active,,
C000423,D2C,2023-08-26,Organic Social,UK,Churned,,
C000424,D2C,2024-04-14,,AU,Active,,
C000425,D2C,2024-10-16,Email,US,Active,,
C000426,D2C,2024-09-19,Email,US,Active,,
C000427,D2C,2022-06-26,Organic Social,UK,Active,,
C000428,D2C,2024-01-19,Organic Social,US,Active,,
C000429,D2C,2022-01-10,Referral,DE,Churned,,
C000430,D2C,2022-03-17,Referral,US,Active,,
C000431,D2C,2022-05-26,Referral,US,Churned,,
C000432,D2C,2023-07-19,Email,US,Active,,
C000433,D2C,2022-06-11,Email,AU,Churned,,
C000434,D2C,2024-03-11,Organic Social,DE,Active,,
C000435,D2C,2022-10-22,Email,UK,Active,,
C000436,D2C,2024-01-05,Email,US,Churned,,
C000437,D2C,2024-03-06,Paid Ads,AU,Active,,
C000438,D2C,2022-04-30,Email,UK,Churned,,
C000439,D2C,2024-09-20,SEO,UK,Active,,
C000440,D2C,2024-03-22,Referral,US,At Risk,,
C000441,D2C,2022-02-12,Referral,UK,Active,,
C000442,D2C,2023-03-19,Paid Ads,UK,Churned,,
C000443,D2C,2022-11-26,Paid Ads,CA,Churned,,
C000444,D2C,2023-11-06,Email,US,Churned,,
C000445,D2C,2024-06-19,Paid Ads,US,Active,,
C000446,D2C,2022-11-26,Referral,US,Churned,,
C000447,D2C,2022-06-24,Organic Social,CA,At Risk,,
C000448,D2C,2022-05-16,Paid Ads,AU,Churned,,
C000449,D2C,2024-05-08,Paid Ads,CA,Active,,
C000450,D2C,2023-04-30,Organic Social,UK,Active,,
C000451,D2C,2022-04-20,Referral,US,Churned,,
C000452,D2C,2024-07-07,Organic Social,US,Active,,
C000453,D2C,2024-07-01,SEO,CA,Active,,
C000454,D2C,2023-03-19,Paid Ads,US,Churned,,
C000455,D2C,2024-08-17,Referral,DE,Active,,
C000456,D2C,2023-05-10,,US,Active,,
C000457,D2C,2022-08-02,Organic Social,UK,Churned,,
C000458,D2C,2023-06-09,Paid Ads,AU,Churned,,
C000459,D2C,2022-01-07,Paid Ads,US,Churned,,
C000460,D2C,2024-10-08,Email,CA,Active,,
C000461,D2C,2023-07-18,Organic Social,US,Active,,
C000462,D2C,2022-04-09,SEO,UK,At Risk,,
C000463,D2C,2024-11-02,Paid Ads,US,Active,,
C000464,D2C,2023-08-28,SEO,US,Churned,,
C000465,D2C,2024-05-02,Referral,US,Churned,,
C000466,D2C,2022-08-04,Email,US,Churned,,
C000467,D2C,2023-03-09,SEO,US,Churned,,
C000468,D2C,2022-05-08,Email,CA,Active,,
C000469,D2C,2024-06-08,Paid Ads,US,Active,,
C000470,D2C,2023-12-22,Sales,US,Active,,
C000471,D2C,2024-03-06,Organic Social,CA,Active,,
C000472,D2C,2024-06-02,Paid Ads,CA,At Risk,,
C000473,D2C,2023-11-17,Paid Ads,CA,Churned,,
C000474,D2C,2024-08-18,Paid Ads,AU,Active,,
C000475,D2C,2022-02-15,Paid Ads,UK,Churned,,
C000476,D2C,2022-02-01,Paid Ads,US,Churned,,
C000477,D2C,2024-07-28,Email,US,Active,,
C000478,D2C,2023-08-09,Paid Ads,US,Active,,
C000479,D2C,2023-07-14,Referral,CA,Churned,,
C000480,D2C,2023-01-18,Organic Social,AU,Churned,,
C000481,D2C,2022-07-11,Paid Ads,AU,Active,,
C000482,D2C,2024-11-20,Referral,DE,Active,,
C000483,D2C,2023-11-30,Referral,AU,Active,,
C000484,D2C,2022-08-22,Referral,US,Churned,,
C000485,D2C,2022-07-07,Referral,UK,Churned,,
C000486,D2C,2024-01-16,Email,UK,At Risk,,
C000487,D2C,2024-07-27,Organic Social,US,Active,,
C000488,D2C,2022-08-21,Paid Ads,AU,Churned,,
C000489,D2C,2024-02-02,SEO,US,At Risk,,
C000490,D2C,2024-09-02,SEO,AU,Active,,
C000491,D2C,2024-09-29,Paid Ads,US,Active,,
C000492,D2C,2024-10-06,SEO,UK,Active,,
C000493,D2C,2024-01-08,Referral,US,At Risk,,
C000494,D2C,2022-11-23,Paid Ads,CA,Churned,,
